,phenotype,beta,abs_beta,p_value,n,fdr_p,significant
81,body_comp_arms_diff_fat_free_mass,-0.07317752690588211,0.07317752690588211,0.455362310340632,468,0.8049454124117075,False
82,body_comp_leg_left_tissue_percent_fat,0.07195042739317492,0.07195042739317492,0.44994133648438384,468,0.8049454124117075,False
83,body_comp_total_right_bone_mass,0.07057966223032308,0.07057966223032308,0.4556195601699712,468,0.8049454124117075,False
84,body_comp_gynoid_tissue_percent_fat,0.0691693348508677,0.0691693348508677,0.4756543770446383,468,0.8049454124117075,False
85,body_comp_arm_right_total_mass,-0.06792357759610565,0.06792357759610565,0.47807117713276026,468,0.8049454124117075,False
86,total_scan_sat_area,0.06743278904650424,0.06743278904650424,0.4797718850474674,468,0.8049454124117075,False
87,body_comp_total_left_lean_mass,-0.06708362785262334,0.06708362785262334,0.481698615065281,468,0.8049454124117075,False
88,body_comp_total_right_tissue_mass,-0.06693759517488038,0.06693759517488038,0.4872775606797701,468,0.8049454124117075,False
89,body_comp_leg_left_fat_free_mass,-0.06671273861906905,0.06671273861906905,0.48664014037202685,468,0.8049454124117075,False
90,body_comp_total_right_region_percent_fat,0.06659471006695897,0.06659471006695897,0.4883335501964359,468,0.8049454124117075,False
91,body_comp_trunk_fat_free_mass,0.06358263123890194,0.06358263123890194,0.504483495404652,468,0.8225274381597587,False
92,body_comp_legs_diff_tissue_percent_fat,0.059879047263475975,0.059879047263475975,0.5318444885470119,468,0.8532130378448058,False
93,body_comp_total_left_fat_free_mass,0.05833814934405903,0.05833814934405903,0.5428819070056756,468,0.8532130378448058,False
94,body_comp_trunk_right_fat_mass,-0.057350723247156496,0.057350723247156496,0.5476457831625505,468,0.8532130378448058,False
95,body_comp_arm_right_tissue_percent_fat,0.05548414061841236,0.05548414061841236,0.5621559761026811,468,0.8532130378448058,False
96,body_comp_arm_left_bone_mass,0.0536306088987927,0.0536306088987927,0.5781020501496072,468,0.8532130378448058,False
97,body_comp_leg_right_tissue_mass,-0.0526888179608828,0.0526888179608828,0.5841865186178585,468,0.8532130378448058,False
98,body_comp_leg_left_total_mass,-0.05221749918685882,0.05221749918685882,0.5860512462353411,468,0.8532130378448058,False
99,body_comp_legs_region_percent_fat,-0.05193862379308397,0.05193862379308397,0.5881737968572915,468,0.8532130378448058,False
100,body_comp_trunk_diff_fat_free_mass,-0.05107443125222147,0.05107443125222147,0.5946912220303546,468,0.8532130378448058,False
101,body_comp_total_left_total_mass,-0.05081089535972829,0.05081089535972829,0.5958135043188773,468,0.8532130378448058,False
102,body_comp_total_left_tissue_mass,0.05053023765369227,0.05053023765369227,0.5941645012605197,468,0.8532130378448058,False
103,body_comp_total_left_bone_mass,-0.05020872021634346,0.05020872021634346,0.5995167719264729,468,0.8532130378448058,False
104,body_comp_trunk_right_total_mass,-0.049820647688049946,0.049820647688049946,0.6008816853065057,468,0.8532130378448058,False
105,body_comp_legs_diff_tissue_mass,0.04950612979229515,0.04950612979229515,0.6029372134103295,468,0.8532130378448058,False
106,body_comp_legs_total_mass,-0.047317339797233494,0.047317339797233494,0.621438329355142,468,0.8684109792627436,False
107,body_comp_legs_diff_fat_mass,-0.04518948898979695,0.04518948898979695,0.6358821520304234,468,0.8684109792627436,False
108,body_comp_trunk_diff_tissue_percent_fat,0.0449241541024507,0.0449241541024507,0.6392032277438371,468,0.8684109792627436,False
109,body_comp_leg_right_fat_free_mass,0.04297856064388782,0.04297856064388782,0.6529503789889639,468,0.8684109792627436,False
110,body_comp_arms_diff_tissue_mass,-0.04256886828347462,0.04256886828347462,0.6576077178036303,468,0.8684109792627436,False
111,body_comp_gynoid_total_mass,0.04211378976859399,0.04211378976859399,0.6581148842283566,468,0.8684109792627436,False
112,body_comp_arm_left_fat_free_mass,-0.04181042163283848,0.04181042163283848,0.6636302846488424,468,0.8684109792627436,False
113,body_comp_trunk_total_mass,-0.041693610553733745,0.041693610553733745,0.6633014645285251,468,0.8684109792627436,False
114,body_comp_legs_diff_lean_mass,0.041067586909310436,0.041067586909310436,0.6660470755492119,468,0.8684109792627436,False
115,body_comp_leg_right_region_percent_fat,-0.04070639609488688,0.04070639609488688,0.6715711572965217,468,0.8684109792627436,False
116,body_comp_total_tissue_mass,0.036956157775045864,0.036956157775045864,0.6978540387012011,468,0.8852252136618104,False
117,body_comp_legs_diff_total_mass,0.03653636221021811,0.03653636221021811,0.7046622546206401,468,0.8852252136618104,False
118,body_comp_trunk_diff_total_mass,-0.03616486155850449,0.03616486155850449,0.7038285912528826,468,0.8852252136618104,False
119,body_comp_total_right_total_mass,0.03536646014197082,0.03536646014197082,0.7149708312545098,468,0.8852252136618104,False
120,body_comp_arm_left_lean_mass,-0.03402110046077662,0.03402110046077662,0.7226469822576982,468,0.8852252136618104,False
121,body_comp_trunk_left_tissue_mass,-0.03401999013408379,0.03401999013408379,0.7211512118209447,468,0.8852252136618104,False
122,body_comp_total_total_mass,-0.03336692239665917,0.03336692239665917,0.7266957922977187,468,0.8852252136618104,False
123,body_comp_leg_left_tissue_mass,-0.032276471554091475,0.032276471554091475,0.7360222751495878,468,0.8852252136618104,False
124,body_comp_leg_right_bone_mass,-0.03193473074657631,0.03193473074657631,0.7376876780515087,468,0.8852252136618104,False
125,body_comp_arms_diff_bone_mass,-0.02738819358384959,0.02738819358384959,0.7749304478223125,468,0.9225362474075148,False
126,body_comp_android_bone_mass,0.024436856581576776,0.024436856581576776,0.7967575544745948,468,0.9410522296944034,False
127,body_comp_gynoid_fat_free_mass,-0.02222492082482478,0.02222492082482478,0.8147036762503632,468,0.9424319067931424,False
128,body_comp_arms_diff_lean_mass,-0.02168164469187637,0.02168164469187637,0.8219187267204908,468,0.9424319067931424,False
129,body_comp_leg_left_region_percent_fat,-0.021243708186351396,0.021243708186351396,0.8231866214592326,468,0.9424319067931424,False
130,body_comp_total_diff_lean_mass,-0.02104602238032038,0.02104602238032038,0.8269634598723626,468,0.9424319067931424,False
131,body_comp_arms_diff_fat_mass,-0.019916022305269433,0.019916022305269433,0.8356229573565863,468,0.9424319067931424,False
132,body_comp_trunk_diff_bone_mass,-0.019815817262536745,0.019815817262536745,0.8353913285509712,468,0.9424319067931424,False
133,body_comp_arms_diff_region_percent_fat,-0.01752600311746407,0.01752600311746407,0.8538226402789454,468,0.9557716122525508,False
134,body_comp_total_fat_free_mass,-0.015841004733192846,0.015841004733192846,0.8679828050001348,468,0.957567121779894,False
135,body_comp_total_diff_fat_free_mass,-0.0158199630345624,0.0158199630345624,0.8681941904137706,468,0.957567121779894,False
136,body_comp_android_total_mass,0.014675269327098651,0.014675269327098651,0.877150575831084,468,0.960383842150822,False
137,body_comp_leg_left_fat_mass,0.01329732241612393,0.01329732241612393,0.888709928255879,468,0.9659890524520424,False
138,body_comp_trunk_right_tissue_mass,-0.008032443981089207,0.008032443981089207,0.9328500938520574,468,0.99326765121339,False
139,body_comp_arms_tissue_mass,0.007953543603631732,0.007953543603631732,0.9335404243810539,468,0.99326765121339,False
140,body_comp_total_diff_tissue_mass,0.00714364948475998,0.00714364948475998,0.9410969178836288,468,0.99326765121339,False
141,body_comp_total_diff_region_percent_fat,-0.006520116390903506,0.006520116390903506,0.9453855868455682,468,0.99326765121339,False
142,body_comp_trunk_right_tissue_percent_fat,0.006323427297341729,0.006323427297341729,0.9469151608234319,468,0.99326765121339,False
143,body_comp_total_right_fat_mass,-0.005295165207551521,0.005295165207551521,0.9558261642592375,468,0.9956522544367058,False
144,body_comp_legs_tissue_mass,-0.0017857065305754303,0.0017857065305754303,0.9850391243304015,468,0.9971142171947008,False
145,body_comp_total_diff_total_mass,0.0012665871474030574,0.0012665871474030574,0.989410009361664,468,0.9971142171947008,False
146,body_comp_leg_left_bone_mass,0.0011563023805907008,0.0011563023805907008,0.9903734277198093,468,0.9971142171947008,False
147,body_comp_arm_right_fat_free_mass,-0.00041408639873567526,0.00041408639873567526,0.9965676377194326,468,0.9971142171947008,False
148,body_comp_legs_fat_mass,0.0003584222824647561,0.0003584222824647561,0.9970457650120567,468,0.9971142171947008,False
149,body_comp_legs_diff_fat_free_mass,-0.0003453311756056235,0.0003453311756056235,0.9971142171947008,468,0.9971142171947008,False
